0,162
1,287
2,449
3,735
4,736
5,1154
6,1156
7,1292
8,1293
9,1438
10,1750
11,2073
12,2074
13,2075
14,2230
15,2231
16,2331
17,2332
18,2383
19,2384
20,2385
21,2479
22,2526
23,2754
24,2756
25,2757
26,2879
27,2888
28,2889
29,3018
30,3024
31,3151
32,3155
33,3156
34,3275
35,3276
36,3278
37,3279
38,3285
39,3299
40,3352
41,3405
42,3406
43,3414
44,3415
45,3417
46,3418
47,3420
48,3426
49,3439
50,3560
51,3693
52,3694
53,3828
54,3858
55,3958
56,3960
57,3962
58,3966
59,3973
60,4084
61,4085
62,4087
63,4196
64,4198
65,4312
66,4316
67,4397
68,4403
69,4426
70,4496
71,4612
72,4699
73,4704
74,4709
75,4731
76,4735
77,4969
78,5067
79,5223
80,5264
81,5367
82,5402
83,5405
84,5437
85,5503
86,5511
87,5559
88,5561
89,5611
90,5616
91,5620
92,5621
93,5719
94,5769
95,5770
96,5803
97,5804
98,5825
99,5868
100,5869
101,5870
102,5871
103,5872
104,5918
105,5927
106,5970
107,6020
108,6023
109,6073
110,6087
111,6174
112,6175
113,6188
114,6190
115,6230
116,6238
117,6279
118,6282
119,6293
120,6295
121,6393
122,6446
123,6455
124,6555
125,6567
126,6675
127,6731
128,6739
129,6790
130,6791
131,6855
132,6858
133,6863
134,7074
135,7113
136,7115
137,7163
138,7215
139,7217
140,7431
141,7476
142,7531
143,7710
144,7731
145,7750
146,7789
147,7819
148,7901
149,7905
150,7983
151,8010
152,8123
153,8160
154,8201
155,8237
156,8240
157,8254
158,8315
159,8352
160,8357
161,8399
162,8461
163,8472
164,8476
165,8482
166,8538
167,8589
168,8595
169,8669
170,8676
171,8698
172,8699
173,8719
174,8815
175,9006
176,9019
177,9049
178,9050
179,9105
180,9142
181,9183
182,9279
183,9309
184,9319
185,9328
186,9351
187,9414
188,9415
189,9418
190,9463
191,9473
192,9474
193,9574
194,9672
195,9701
196,9729
197,9730
198,9789
199,9820
200,9850
201,9851
202,9875
203,9924
204,9956
205,9986
206,10012
207,10024
208,10056
209,10061
210,10094
211,10110
212,10170
213,10173
214,10177
215,10178
216,10179
217,10184
218,10219
219,10253
220,10285
221,10286
222,10287
223,10289
224,10310
225,10323
226,10362
227,10379
228,10392
229,10393
230,10394
231,10430
232,10484
233,10496
234,10500
235,10501
236,10502
237,10503
238,10504
239,10629
240,10630
241,10631
242,10714
243,10757
244,10758
245,10879
246,10999
247,11022
248,11038
249,11126
250,11153
251,11176
252,11179
253,11182
254,11187
255,11188
256,11288
257,11338
258,11339
259,11345
260,11441
261,11442
262,11443
263,11468
264,11490
265,11492
266,11499
267,11507
268,11509
269,11592
270,11594
271,11620
272,11642
273,11645
274,11647
275,11730
276,11732
277,11733
278,11877
279,11921
280,11922
281,12197
282,12231
283,12372
284,12452
285,12453
286,12454
287,12455
288,12574
289,12576
290,12636
291,12638
292,12658
293,12690
294,12837
295,12838
296,12839
297,12840
298,12859
299,13047
300,13067
301,13105
302,13189
303,13258
304,13274
305,13290
306,13581
307,13852
308,13989
309,13990
310,13992
311,13995
312,14216
313,14217
314,14230
315,14428
316,14441
317,14442
318,14523
319,14524
320,14551
321,14574
322,14639
323,14640
324,14641
325,14642
326,14656
327,14657
328,14659
329,14681
330,14744
331,14780
332,14859
333,14860
334,14862
335,14863
336,14875
337,14876
338,14981
339,14987
340,15004
341,15005
342,15109
343,15123
344,15124
345,15126
346,15128
